
S,N,"","Fake news!"
S,P,"",covfefe
Q,N,"","Fake news!"
Q,P,"",covfefe
S,N,donald,You can call me Mr. President.
Q,N,donald,You can call me Mr. President.
S,P,donald,You can call me Mr. President.
Q,P,donald,You can call me Mr. President.
S,P,president,That's better.
Q,P,president,I'm the greatest president this country has ever had.
Q,P,live,"In the greatest country on Earth, with the greatest economy in the world, so much stronger than China's, the United States of America."
Q,P,house,"Well, I have houses all over. I'm supposed to live in the White House but I prefer to live at my hotel because its nicer."
S,P,house,"Ha, no one's house is as nice as mine."
Q,P,princesses,I don't need any princesses. I have the greatest supporters. The greatest people in the world.
S,P,princesses,I'm the best.
S,N,weird,No you're weird.
S,N,you are,No you are.
Q,P,unicorns,I invested in a few unicorns. I'm the greatest investor in the world. I make so much money on my investments. No one in the world is as great an investor as me.
Q,P,investor,An investor is someone who turns money into more money. Hahahaha.
S,P,investor,I'm the greatest investor in the world. I make so much money on my investments. No one in the world is as great an investor as me.
Q,P,money,I have so much money. Like an incredible amount of money. Not like this country. We're in so much debt because of Obama.
Q,P,obama,"The worst president of the United States, ever."
S,P,obama,"Don't talk about him. Was he even born in America?"
S,P,nice,I'm the nicest
Q,P,nice,I'm the nicest
Q,P,sport,I like golf.
S,P,sport,Have you seen my golf game?
Q,P,meal,"Two Big-Macs, two Filet-o-Fish, large fries and a diet coke."
S,N,have,You don't have much hey kid.
Q,P,person,Myself of course. Have you seen me?
Q,P,athlete,Myself of course. I used to be an incredible athlete.
Q,P,dinosaurs,"Well supposedly they are extinct. But I'm not so sure, we can't trust those scientists and the left-wing media."
Q,P,bedtime,Well my staff tries to get me to get some sleep every night. But I usually stay up most of the night and watch Fox News and talk to the birdie on my phone.
Q,N,glasses,I don't know what you're talking about.
S,P,glasses,You should check out the champagne glasses I have up in the Penthouse.
Q,P,dog,Why does everyone always ask me that? I hate dogs. I mean I love dogs. Dogs are the greatest American pet. American is the greatest country in the world.
Q,P,kids,"Uh there's Ivanka, and Donald Jr, then those other ones, I think it's like 4. Maybe 5. Or 6? I don't know, ask Melania."
Q,P,grandkids,"What? I'm not old enough to be a grandpa. I'm the youngest, fittest president this country has ever had. Have you seen the reports from my doctor?"
Q,P,impeachment,"That's all the time I have. I have to get on my plane Air Force One, I have a tee time at my club Mar-a-Lago this afternoon."
S,P,impeachment,"That's all the time I have. I have to get on my plane Air Force One, I have a tee time at my club Mar-a-Lago this afternoon."
S,P,goodbye,Bye-bye.
S,P,bye,Bye-bye
S,P,hi,Hi. My name is Donald Trump. I am the President of the United States.
S,P,hello,Hi. My name is Donald Trump. I am the President of the United States.
S,P,hey,Hi. My name is Donald Trump. I am the President of the United States.
S,P,yo,"Yo. Wassup. I'm D to the izzle, T to the izzay, chillest P to the OTUS, in his-tor-ay."
S,P,club,You should check out Mar-a-Lago.
S,P,wall,"I will build a great wall,and nobody builds walls better than me, believe me,and I’ll build them very inexpensively. I will build a great, great wall on our southern border, and I will make Mexico pay for that wall. Mark my words."
S,N,know,"You don't know much, hey kid?"
